local_id,mes,num_empleados,coste_personal_eur
1,2024-08,9,16217.06
1,2024-09,9,16115.39
1,2024-10,8,14135.59
1,2024-11,9,15208.19
1,2024-12,9,15685.82
1,2025-01,8,14141.56
1,2025-02,10,17764.05
1,2025-03,8,14657.87
1,2025-04,10,18267.47
1,2025-05,9,15248.87
1,2025-06,8,14164.47
1,2025-07,9,15788.99
1,2025-08,10,16665.36
1,2025-09,9,15926.17
1,2025-10,9,15036.0
1,2025-11,10,17266.13
1,2025-12,9,15105.21
1,2026-01,9,15276.99
1,2026-02,9,16511.09
1,2026-03,8,13365.03
1,2026-04,9,16033.98
1,2026-05,8,13391.07
1,2026-06,10,18273.85
1,2026-07,9,16235.73
2,2024-08,5,8326.47
2,2024-09,6,10693.44
2,2024-10,6,10692.43
2,2024-11,7,12244.09
2,2024-12,6,10157.03
2,2025-01,5,8538.93
2,2025-02,7,12562.82
2,2025-03,6,10521.07
2,2025-04,6,10571.09
2,2025-05,5,9160.89
2,2025-06,6,10447.24
2,2025-07,6,10914.57
2,2025-08,6,10738.64
2,2025-09,6,10067.92
2,2025-10,6,10521.88
2,2025-11,6,10316.6
2,2025-12,7,12552.97
2,2026-01,6,10845.17
2,2026-02,6,10988.52
2,2026-03,7,12302.3
2,2026-04,5,8571.74
2,2026-05,5,8377.73
2,2026-06,6,10419.57
2,2026-07,5,8486.38
3,2024-08,9,14984.68
3,2024-09,7,12503.4
3,2024-10,7,12605.47
3,2024-11,7,11728.2
3,2024-12,7,12435.07
3,2025-01,8,14508.34
3,2025-02,8,13929.23
3,2025-03,6,10041.74
3,2025-04,7,12456.83
3,2025-05,6,10741.09
3,2025-06,9,15395.19
3,2025-07,8,13961.1
3,2025-08,7,12827.85
3,2025-09,7,12569.46
3,2025-10,7,11926.58
3,2025-11,7,12242.4
3,2025-12,6,10721.2
3,2026-01,7,11668.64
3,2026-02,6,10186.81
3,2026-03,8,14190.97
3,2026-04,8,14088.59
3,2026-05,8,14570.59
3,2026-06,8,14146.18
3,2026-07,8,14357.77
4,2024-08,12,21929.99
4,2024-09,11,18845.27
4,2024-10,8,14532.65
4,2024-11,8,14431.37
4,2024-12,7,11766.73
4,2025-01,9,16228.28
4,2025-02,9,15618.5
4,2025-03,8,14055.08
4,2025-04,8,13470.92
4,2025-05,7,12027.05
4,2025-06,10,17101.23
4,2025-07,11,19109.68
4,2025-08,12,20690.39
4,2025-09,11,18300.88
4,2025-10,9,15803.69
4,2025-11,8,13610.95
4,2025-12,8,13677.18
4,2026-01,9,16447.58
4,2026-02,8,13606.27
4,2026-03,9,16069.75
4,2026-04,7,11716.99
4,2026-05,8,14647.43
4,2026-06,11,19627.89
4,2026-07,11,18866.69
5,2024-08,14,25719.46
5,2024-09,15,26537.61
5,2024-10,11,19078.75
5,2024-11,11,18823.89
5,2024-12,10,17735.11
5,2025-01,11,18566.42
5,2025-02,12,20890.34
5,2025-03,11,18753.46
5,2025-04,12,20119.79
5,2025-05,12,20449.04
5,2025-06,15,27045.74
5,2025-07,14,24824.15
5,2025-08,15,25984.41
5,2025-09,15,25174.51
5,2025-10,10,16888.76
5,2025-11,11,18646.55
5,2025-12,10,18127.13
5,2026-01,12,21372.89
5,2026-02,11,19656.46
5,2026-03,11,18723.5
5,2026-04,12,20151.97
5,2026-05,10,17834.14
5,2026-06,16,28049.7
5,2026-07,16,26985.06
6,2025-03,7,12538.14
6,2025-04,6,10945.93
6,2025-05,6,10705.57
6,2025-06,7,12445.98
6,2025-07,7,12840.66
6,2025-08,8,14041.51
6,2025-09,6,11021.07
6,2025-10,6,10917.08
6,2025-11,5,9084.81
6,2025-12,6,10330.98
6,2026-01,6,10710.38
6,2026-02,7,12736.46
6,2026-03,7,12133.02
6,2026-04,5,8874.28
6,2026-05,6,10957.42
6,2026-06,8,14557.98
6,2026-07,8,14112.96
